===== Stardust (USA) =====
nation, name, tier
Stardust (USA), 20 mm Hispano-Suiza Birkigt Gun (M2), 1
Stardust (USA), 37 mm Gun M1916, 1
Stardust (USA), 37 mm Semiautomatic Gun M1924, 1
Stardust (USA), 37 mm Semiautomatic Gun M1924A1, 1
Stardust (USA), Browning MG caliber .50 HB, M2, 1
Stardust (USA), 20 mm Hispano-Suiza Birkigt Gun, 2
Stardust (USA), 20 mm Hispano-Suiza Birkigt Gun, 2
Stardust (USA), 37 mm AT Gun M3, 2
Stardust (USA), 37 mm Browning Semiautomatic Gun, 2
Stardust (USA), 37 mm Gun M5, 2
Stardust (USA), 37 mm Gun M5 (M2), 2
Stardust (USA), 37 mm Gun M5 (M3), 2
Stardust (USA), 75 mm Pack Howitzer M1, 2
Stardust (USA), 105 mm Howitzer M3, 3
Stardust (USA), 37 mm Browning Semi-Automatic, 3
Stardust (USA), 37 mm Gun M1916E2, 3
Stardust (USA), 37 mm Gun M6, 3
Stardust (USA), 37 mm Gun M6, 3
Stardust (USA), 37 mm Gun M6 (M3), 3
Stardust (USA), 37 mm Gun M6 (M5), 3
Stardust (USA), 37 mm Gun M6E3, 3
Stardust (USA), 57 mm Gun M1 (M8A1), 3
Stardust (USA), 75 mm Gun M2 (T6), 3
Stardust (USA), 75 mm Howitzer M3, 3
Stardust (USA), 105 mm Howitzer M2A1, 4
Stardust (USA), 3-inch AT Gun M1918, 4
Stardust (USA), 3-inch AT Gun M7 (M10), 4
Stardust (USA), 3-inch Gun M7 (T1), 4
Stardust (USA), 37 mm Gun T16, 4
Stardust (USA), 75 mm AT Gun M3, 4
Stardust (USA), 75 mm AT Howitzer M1A1, 4
Stardust (USA), 75 mm Gun M2, 4
Stardust (USA), 75 mm Gun M2L, 4
Stardust (USA), 75 mm Gun M3, 4
Stardust (USA), 75 mm Gun M3, 4
Stardust (USA), 75 mm Gun M3 (T6), 4
Stardust (USA), 75 mm Gun M3A1, 4
Stardust (USA), 75 mm Gun M3L, 4
Stardust (USA), 75 mm Gun M6, 4
Stardust (USA), 75 mm Howitzer M1A1, 4
Stardust (USA), QF 2-pdr Mk. IX, 4
Stardust (USA), QF 6-pdr Mk. III, 4
